,City,State,Median_Age,Male_Population,Female_Population,Total_Population,Number_of_Veterans,Foreign-born,Average_household_size,State_code,Race,Count
2353,Denver,Colorado,34.1,341137.0,341408.0,682545,29363.0,113222.0,2.33,CO,Hispanic or Latino,207847
2354,Garland,Texas,34.5,116406.0,120430.0,236836,10407.0,62975.0,3.12,TX,White,154484
2355,Layton,Utah,29.5,37748.0,36394.0,74142,3811.0,4268.0,3.24,UT,Hispanic or Latino,10123
2356,Dayton,Ohio,32.8,66631.0,73966.0,140597,8465.0,7381.0,2.26,OH,Black or African-American,57280
2357,San Marcos,California,35.4,45246.0,47688.0,92934,5189.0,21558.0,3.13,CA,Hispanic or Latino,35164
2358,Indio,California,35.9,43803.0,43723.0,87526,3647.0,22538.0,3.08,CA,Asian,2866
2359,Camarillo,California,40.8,31941.0,35682.0,67623,4384.0,9735.0,2.77,CA,Hispanic or Latino,16186
2360,Rochester,Minnesota,35.0,54934.0,57282.0,112216,6888.0,17763.0,2.55,MN,Black or African-American,9425
2361,Farmington Hills,Michigan,42.1,37527.0,43805.0,81332,3650.0,18033.0,2.41,MI,Black or African-American,13483
2362,Downey,California,37.3,53006.0,61205.0,114211,2281.0,39977.0,3.45,CA,White,77220
2363,Rancho Cucamonga,California,34.5,88127.0,87105.0,175232,5821.0,33878.0,3.18,CA,White,111832
2364,Columbia,South Carolina,28.0,67686.0,65707.0,133393,5708.0,6074.0,2.32,SC,Black or African-American,56398
2365,Sunrise Manor,Nevada,32.5,93505.0,99103.0,192608,10663.0,56530.0,3.25,NV,Asian,16165
2366,Everett,Washington,37.0,56212.0,51800.0,108012,7880.0,19499.0,2.36,WA,Asian,9807
2367,Federal Way,Washington,36.4,49151.0,46037.0,95188,7135.0,18565.0,2.68,WA,Asian,16026
2368,Jacksonville,Florida,35.7,419203.0,448828.0,868031,75432.0,85650.0,2.62,FL,American Indian and Alaska Native,8177
2369,Waterloo,Iowa,37.2,34488.0,33969.0,68457,4800.0,5082.0,2.42,IA,Black or African-American,11815
2370,Tuscaloosa,Alabama,29.1,47293.0,51045.0,98338,3647.0,4706.0,2.67,AL,White,52603
2371,Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,Asian,15505
2372,Baldwin Park,California,35.8,38747.0,38309.0,77056,780.0,34322.0,4.13,CA,American Indian and Alaska Native,316
2373,Elk Grove,California,36.1,80057.0,86833.0,166890,7762.0,38693.0,3.34,CA,Hispanic or Latino,28781
2374,Oakland,California,35.7,203827.0,215451.0,419278,12159.0,113896.0,2.56,CA,White,171599
2375,Lincoln,Nebraska,32.3,138544.0,138802.0,277346,14694.0,22958.0,2.4,NE,Hispanic or Latino,20296
2376,Miami,Florida,40.4,215840.0,225149.0,440989,7233.0,260789.0,2.5,FL,White,338232
2377,High Point,North Carolina,35.5,51751.0,58077.0,109828,5204.0,16315.0,2.65,NC,Hispanic or Latino,11446
2378,Broken Arrow,Oklahoma,36.8,52136.0,55459.0,107595,6797.0,6845.0,2.77,OK,Black or African-American,7198
2379,Green Bay,Wisconsin,32.9,52517.0,52704.0,105221,5519.0,9813.0,2.37,WI,Asian,5652
2380,Milpitas,California,36.8,40098.0,37519.0,77617,1608.0,39436.0,3.32,CA,American Indian and Alaska Native,599
2381,Union City,California,38.5,38599.0,35911.0,74510,1440.0,32752.0,3.46,CA,American Indian and Alaska Native,243
2382,Lakeland,Florida,38.1,47840.0,56570.0,104410,7390.0,11592.0,2.56,FL,Hispanic or Latino,16501
2383,Fort Lauderdale,Florida,42.8,93948.0,84639.0,178587,8897.0,47582.0,2.38,FL,American Indian and Alaska Native,1366
2384,Eau Claire,Wisconsin,32.0,32327.0,35106.0,67433,3261.0,2833.0,2.4,WI,Asian,4202
2385,Rancho Cordova,California,33.8,34844.0,36182.0,71026,4590.0,17020.0,2.86,CA,Black or African-American,9307
2386,Paterson,New Jersey,34.0,70640.0,77117.0,147757,1694.0,49810.0,3.37,NJ,Hispanic or Latino,85555
2387,Lakewood,Colorado,37.7,76013.0,76576.0,152589,9988.0,14169.0,2.29,CO,American Indian and Alaska Native,2597
2388,Enterprise,Nevada,34.1,69146.0,66328.0,135474,7526.0,31173.0,2.89,NV,White,85505
2389,Macon,Georgia,36.0,71833.0,81626.0,153459,10735.0,4846.0,2.46,GA,American Indian and Alaska Native,682
2390,Pompano Beach,Florida,42.5,56569.0,51202.0,107771,5145.0,32733.0,2.55,FL,Hispanic or Latino,23225
2391,League City,Texas,35.9,49354.0,48996.0,98350,6484.0,8361.0,2.72,TX,Black or African-American,4166
